record,bullied_in_school,bullied_not_school,cyber_bullied,custom_age,sex,physically_attacked,physical_fighting,felt_lonely,close_friends,missed_school,other_students_kind_and_helpful,parents_understand_problems,most_of_the_time_or_always_felt_lonely,missed_classes
19855,No,No,Yes,16 years old,Female,1 time,0 times,Sometimes,1,0 days,Sometimes,Sometimes,No,No
39100,Yes,Yes,No,16 years old,Female,0 times,0 times,Most of the time,2,3 to 5 days,Sometimes,Never,Yes,Yes
4814,No,No,No,14 years old,Male,12 or more times,1 time,Most of the time,3 or more,1 or 2 days,Sometimes,Rarely,Yes,Yes
16006,No,Yes,No,15 years old,Female,1 time,0 times,Never,3 or more,0 days,Never,Sometimes,No,No
38263,Yes,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Most of the time,No,No
55899,Yes,Yes,Yes,13 years old,Female,2 or 3 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No
28264,Yes,No,No,13 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Rarely,No,No
35621,No,No,No,13 years old,Male,0 times,1 time,Never,1,0 days,Sometimes,Always,No,No
9856,No,No,No,14 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Always,Most of the time,No,No
10900,No,No,No,17 years old,Female,0 times,0 times,Most of the time,1,0 days,Never,Most of the time,Yes,No
